Ten_Huyen,lon,lat
Ba Dinh,105.82850878774866,21.03959303886443
Cau Giay,105.78803185397204,21.02821160471941
Long Bien,105.89490604912174,21.0427857893862
Hoai Duc,105.69576821308927,21.025087622742
Tay Ho,105.81746370933054,21.07149044577998
Thach That,105.53042612252207,21.018763893821657
Tu Liem,105.75523914093708,21.050068111302856
Gia Lam,105.94823156448598,21.03209644990429
Dan Phuong,105.67324143730201,21.11349379474778
Phuc Tho,105.5808667620337,21.113485960144526
Son Tay,105.47518646994003,21.103085017800144
Dong Anh,105.83526046460169,21.13917083513072
Phu Xuyen,105.89680999938862,20.73607755332736
Ung Hoa,105.79690922999393,20.711417476868743
My Duc,105.71636168419866,20.691435666535213
Thuong Tin,105.87030885959335,20.844983914127543
Thanh Oai,105.77360846572512,20.86243591682423
Chuong My,105.65969525326375,20.877833652945736
Thanh Tri,105.83549340859103,20.937053658562796
Ha Dong,105.75317944969159,20.961234362661514
Hoang Mai,105.86210074603024,20.975121617539592
Thanh Xuan,105.80858481026856,20.997229920583937
Hai Ba Trung,105.85537621389875,21.004992706965023
Dong Da,105.82219315245896,21.017005777056564
Hoan Kiem,105.85234515602698,21.029470389799368
Quoc Oai,105.59963602869875,20.96795170629928
Me Linh,105.6972121952614,21.18434859802307
Ba Vi,105.38102901200422,21.13909982282444
Soc Son,105.82863186879433,21.27365771139895
